AoA,M1.5_CA-ALPHA,M1.0_CA-ALPHA,M4.63_CA-ALPHA,M3.96_CA-ALPHA,M0.95_CA-ALPHA,M2.96_CA-ALPHA,M0.6_CA-ALPHA,M2.3_CA-ALPHA,M0.8_CA-ALPHA,M1.2_CA-ALPHA,M1.8_CA-ALPHA,M0.9_CA-ALPHA
-8.0,,,,,,,,,,,,
-7.9,,,,,,,,,,,,
-7.8,,,,,,,,,,,,
-7.7,,,,,,,,,,,,
-7.6,,,,,,,,,,,,
-7.5,,,,,,,,,,,,
-7.4,,,,,,,,,,,,
-7.3,,,,,,,,,,,,
-7.2,,,,,,,,,,,,
-7.1,,,,,,,,,,,,
-7.0,,,,,,,,,,,,
-6.9,,,,,,,,,,,,
-6.8,,,,,,,,,,,,
-6.7,,,,,,,,,,,,
-6.6,,,,,,,,,,,,
-6.5,,,,,,,,,,,,
-6.4,,,,,,,,,,,,
-6.3,,,,,,,,,,,,
-6.2,,,,,,,,,,,,
-6.1,,,,,,,,,,,,
-6.0,,,,,,,,,,,,
-5.9,,,,,,,,,,,,
-5.8,,,,,,,,,,,,
-5.699999999999999,,,,,,,,,,,,
-5.6,,,,,,,,,,,,
-5.5,,,,,,,,,,,,
-5.4,,,,,,,,,,,,
-5.3,,,,,,,,,,,,
-5.199999999999999,,,,,,,,,,,,
-5.1,,,,,,,,,,,,
-5.0,,,,,,,,,,,,
-4.9,,,,,,,,,,,,
-4.8,,,,,,,,,,,,
-4.699999999999999,,,,,,,,,,,,
-4.6,,,,,,0.2620081844857931,,,,,,
-4.5,,,,,,0.26166464838225545,,,,,,
-4.4,,,0.17279277665201503,,,0.26129945497231394,,,,,,
-4.3,,,0.1732142356423498,,,0.2609148747452911,,0.3181910614989107,,,,
-4.199999999999999,,,0.17354472826006664,,,0.26051317819050945,,0.3184071596587865,,,,
-4.1,,,0.1737884169244203,0.19621883701020099,,0.26009663579729136,,0.31852655181150213,,,,
-4.0,0.3770609788965279,,0.17394946405466546,0.19691773707817867,,0.25966751805495925,,0.31855476200790284,,,,
-3.8999999999999995,0.3763105253957345,,0.17403203207005685,0.19749622546737336,,0.25922809545283565,,0.31849731429883416,,,0.3591066882025747,
-3.8,0.37558675074048986,,0.1740402833898492,0.19796039355321352,,0.25878063848024296,,0.3183597327351413,,,0.35916156634409463,
-3.7,0.37488941709642876,,0.17397838043329722,0.1983163327111275,,0.25832741762650363,,0.3181475413676697,,,0.35915666379552835,
-3.5999999999999996,0.37421828662918577,,0.17385048561965566,0.19857013431654372,,0.25787070338094015,,0.31786626424726466,,,0.3590957423318095,
-3.5,0.3735731215043955,,0.17366076136817918,0.19872788974489056,,0.25741276623287496,,0.31752142542477163,,,0.3589825637278718,
-3.3999999999999995,0.3729536838876925,,0.17341337009812255,0.1987956903715965,,0.2569558766716305,,0.31711854895103603,,,0.3588208897586491,
-3.3,0.3723597359447114,,0.17311247422874046,0.1987796275720899,,0.2565023051865292,,0.31666315887690316,,,0.3586144821990751,
-3.1999999999999993,0.37179103984108697,,0.17276223617928765,0.19868579272179918,,0.25605432226689345,,0.3161607792532182,,,0.35836710282408374,
-3.0999999999999996,0.3712473577424536,0.38750000000000007,0.17236681836901882,0.19852027719615264,,0.2556141984020459,,0.31561693413082686,,0.46276050421545784,0.3580825134086086,
-3.0,0.370728451814446,0.38763171364706767,0.1719303832171887,0.1982891723705789,0.28444447485157837,0.2551842040813088,0.20310889553422246,0.3150371475605744,0.2098370803597365,0.4627746677996079,0.3577644757275834,0.23997800104942463
-2.8999999999999995,0.37023408422269893,0.3877991185734071,0.17145709314305202,0.1979985696205061,0.2840396260600513,0.2547666097940048,0.20200179137162763,0.3144269435933061,0.20881298174359833,0.46278363804796646,0.357416751555942,0.23917366464361106
-2.8,0.3697640171328468,0.38799868774536905,0.17095111056586346,0.1976545603213629,0.28367799119680337,0.2543636860294562,0.20097119808207067,0.3137918462798672,0.20783186293867068,0.46278787521396236,0.3570431026686183,0.23840547513315086
-2.6999999999999993,0.3693180127105243,0.38822689412930433,0.1704165979048778,0.1972632358485775,0.2833573797002393,0.2539777032769854,0.20001479699183067,0.31313737967110344,0.20689319397538286,0.46278783955102454,0.3566472908405457,0.23767300096667726
-2.5999999999999996,0.368895833121366,0.38848021069156374,0.1698577175793497,0.19683068757757843,0.28307560100876394,0.253610932025915,0.19913026942718667,0.3124690678178599,0.20599644488416438,0.4627839913125818,0.3562330778466583,0.23697581059282344
-2.5,0.3684972405310067,0.3887551103984981,0.16927863200853385,0.19636300688379402,0.2828304645607821,0.2532656427655674,0.1983152967144178,0.31179243477098206,0.20514108569544473,0.46277679075206296,0.3558042254618897,0.23631347246022266
-2.3999999999999995,0.36812199710508076,0.3890480662164581,0.1686835036116851,0.19586628514265272,0.28261977979469843,0.252944105985265,0.19756756017980315,0.31111300458131524,0.20432658643965337,0.46276669812289706,0.3553644954611737,0.23568555501750804
-2.3,0.36776986500922293,0.3893555511117946,0.16807649480805803,0.19534661372958295,0.28244135614891774,0.25264859217433033,0.19688474114962176,0.31043630129970484,0.20355241714721972,0.4627541736785127,0.3549176496194441,0.23509162671331293
-2.1999999999999993,0.3674406064090679,0.38967403805085826,0.16746176801690746,0.19481008402001304,0.2822930030618447,0.25238137182208575,0.19626452095015282,0.30976784897699616,0.20281804784857324,0.4627396776723389,0.3544674497116347,0.23453125599627042
-2.0999999999999996,0.3671339834702501,0.39,0.16684348565748802,0.19426278738937147,0.28217252997188413,0.25214471541785377,0.19570458090767526,0.30911317166403474,0.20212294857414345,0.46272367035780454,0.35401765751267905,0.23400401131501378
-2.0,0.36684975835840433,0.39032990992557054,0.16622581014905455,0.19371081521308658,0.2820777463174407,0.25194089345095694,0.1952026023484683,0.30847779341166576,0.20146658935435974,0.46270661198833835,0.3535720347975111,0.23350946111817622
-1.8999999999999995,0.3665876932391651,0.39066024079392064,0.16561290391086164,0.19316025886658683,0.2820064615369194,0.2517721764107174,0.19475626659881096,0.30786723827073464,0.20084844021965165,0.4626889628173693,0.3531343433410646,0.23304717385439097
-1.7999999999999998,0.36634755027816707,0.3909874655714012,0.16500892936216408,0.1926172097253006,0.2819564850687247,0.251640834786458,0.19436325498498236,0.3072870302920868,0.2002679712004486,0.46267118309832633,0.3527083449182732,0.23261671797229122
-1.6999999999999993,0.36612909164104485,0.3913080572243628,0.16441804892221654,0.19208775916465629,0.2819256263512615,0.2515491390675009,0.19402124883326152,0.30674269352656763,0.19972465232718004,0.46265373308463814,0.35229780130407085,0.23221766192051022
-1.5999999999999996,0.3659320794934331,0.3916184887191564,0.1638444250102738,0.19157799856008234,0.2819116948229345,0.25149935974316867,0.19372792946992762,0.30623975202502235,0.1992179536302754,0.46263707302973367,0.35190647427339117,0.23184957414768112
-1.5,0.3657562760009663,0.39191523302213266,0.16329222004559055,0.1910940192870071,0.2819124999221485,0.2514937673027837,0.1934809782212597,0.3057837298382965,0.19874734514016423,0.46262166318704173,0.3515381256011679,0.23151202310243718
-1.3999999999999995,0.36560144332927913,0.3921947630996424,0.1627655964474215,0.19064191272085898,0.2819258510873083,0.251534558906756,0.1932780764135368,0.3053801510172354,0.19831229688727592,0.46260796380999114,0.35119651706233485,0.2312045772334116
-1.2999999999999998,0.36546734364400624,0.39245355191803644,0.1622687166350214,0.1902277702370664,0.28194955775681846,0.2516198752333845,0.19311690537303813,0.30503453961268434,0.19791227890203994,0.46259643515201093,0.35088541043182586,0.2309268049892376
-1.1999999999999993,0.3653537391107823,0.39268807244366555,0.16180598958781012,0.18985768321105778,0.28198142936908394,0.2517417592219197,0.19299514642604265,0.3047524196754887,0.1975467612148858,0.4625875374665298,0.35060856748457464,0.23067827481854838
-1.0999999999999996,0.3652603918952418,0.3928947976428805,0.16138446398915626,0.18953774301826154,0.28201927536250937,0.25189175084860127,0.19291048089882953,0.3045393151398131,0.1972152138562429,0.46258173100697664,0.3503697499955149,0.23045855516997724
-1.0,0.3651870641630194,0.39307020048203195,0.16101278980742129,0.18927387731044779,0.2820609051754996,0.2520613900896688,0.19286059011767778,0.30439760002375454,0.19691710685654076,0.4625794760267804,0.3501727197395804,0.23026721449215726
-0.8999999999999995,0.3651334946075318,0.39321075392747085,0.16069963947876176,0.1890679247648889,0.2821041282464593,0.2522422169213619,0.19284315540886657,0.304318285381407,0.1966519102462088,0.4625812327793699,0.350021238491705,0.23010382123372172
-0.7999999999999998,0.3650983871694836,0.393312930945548,0.1604536854393342,0.1889174469572841,0.2821467540137933,0.2524257713199202,0.19285585809867492,0.30428982088897455,0.19641909405567648,0.46258746151817387,0.3499179702481143,0.22996794384330382
-0.6999999999999993,0.3650790262582624,0.39337320450261404,0.16028360012529502,0.18881980409039295,0.2821865919159062,0.2526035932615834,0.19289637951338195,0.3043006562226613,0.19621812831537327,0.46259862249662137,0.3498581476371752,0.2298591507695368
-0.5999999999999996,0.3650725934357913,0.3933880475650198,0.16019805597280087,0.18877235636697495,0.2822214513912029,0.252767222722591,0.1929624009792667,0.3043392410586714,0.19604848305572864,0.46261517596814117,0.34983392181987993,0.2297770104610539
-0.5,0.3650762702639936,0.39335393309911615,0.1602057254180082,0.18877246398978975,0.2822491418780882,0.2529081996791827,0.19305160382260836,0.30439402507320906,0.19590962830717207,0.4626375821861621,0.34983743403083606,0.22972109136648824
-0.39999999999999947,0.3650872383047923,0.39326733407125375,0.1603152808970736,0.18881748716159685,0.28226747281496667,0.25301806410759814,0.19316166936968593,0.3044534579424783,0.19580103410013297,0.462666301404113,0.3498608255046514,0.22969096193447314
-0.2999999999999998,0.36510267912011085,0.3931247234477834,0.16053539484615353,0.18890478608515582,0.2822742536402432,0.25309001506280493,0.1932902789467785,0.30450598934268325,0.19572217046504084,0.4627017938754229,0.34989623747593374,0.2296861906136417
-0.1999999999999993,0.3651197742718725,0.392922574195056,0.16087278290653398,0.1890317209632262,0.2822672937923225,0.25312733497592005,0.19343511388016515,0.30454006895002816,0.19567250743232514,0.46274451985352044,0.34993581117929057,0.22970634585262725
-0.09999999999999964,0.36513570532200024,0.39265735927942214,0.16131761047633333,0.18919565199856753,0.2822444027096093,0.2531370949236987,0.19359385549612504,0.3045441508090424,0.1956515150324153,0.46279517118913144,0.34997168784932986,0.22975099610006292
0.0,0.3651476538324175,0.3923258551090207,0.16185172106233653,0.1893939393939394,0.28220338983050847,0.25312637277848227,0.19376460108159496,0.30451197302013633,0.19565869360473656,0.4628554013005744,0.34999600872065917,0.2298197302960792
0.09999999999999964,0.36515287420935083,0.39193181725311454,0.16245689513783484,0.18962370458776745,0.28214335811676367,0.2531022464126124,0.19394799057808584,0.30445281699457394,0.1956945364099956,0.4629271131240741,0.3500009150278863,0.22991280868129507
0.20000000000000107,0.36515078596281597,0.39148598044209043,0.16311491317611965,0.18988111396114205,0.28206858462347456,0.2530717936984308,0.1941456243965159,0.30437880776168924,0.19576072852870302,0.463012209596316,0.34998058610882204,0.23003129726938698
0.3000000000000007,0.365143286734869,0.3909993828481233,0.16380755565048208,0.1901620951308196,0.28198463992908007,0.2530420925082788,0.19435910473269696,0.30430207035081613,0.19585902554625015,0.4631125936539859,0.3499403416411061,0.23017630974141629
0.40000000000000036,0.3651324099756082,0.39048306264338783,0.1645166030342134,0.19046257571355654,0.28189709461201884,0.2530202207144981,0.19459003378244094,0.3042347297912885,0.19599118304802834,0.4632301682337693,0.34988928853784773,0.23034895977844438
0.5,0.36512018913513117,0.38994805800005905,0.16522383580060498,0.1907784833261094,0.2818115192507297,0.2530132561894303,0.19484001374155968,0.3041889111124404,0.19615895661942898,0.46336683627235176,0.3498365368430613,0.2305503610615326
0.5999999999999996,0.36510865766353623,0.3894054070903116,0.16591103442294805,0.1911057455852345,0.2817334844236515,0.25302827680541684,0.19511064680586504,0.3041767393436056,0.1963641018458434,0.46352450070641893,0.3497911966007612,0.23078162727174228
0.7000000000000011,0.36509984901092113,0.3888661480863205,0.1665599793745339,0.19144029010768837,0.28166856070922275,0.253071207411621,0.1954035351711689,0.3042103395141181,0.19660837431266293,0.4637050644726564,0.3497623778549616,0.23104387209013477
0.8000000000000007,0.36509579662738395,0.38834131916026043,0.16715497679685595,0.19177804451022742,0.28162231868588244,0.25314229742675237,0.19572028103328312,0.30430183665331184,0.19689352960527898,0.46391043050774994,0.349759190649677,0.23133820919777145
0.9000000000000004,0.3650985339630227,0.38784195848430636,0.1676974302385279,0.1921149364096081,0.28160032893206915,0.25324005299782587,0.1960624865880195,0.3044633557905206,0.19722132330908287,0.4641425017483849,0.3497907450289217,0.23166575227571362
1.0,0.36511009446793524,0.38737910423063315,0.1681958328046534,0.1924468937767099,0.2816081620262218,0.2533629798032193,0.19643175403119,0.3047060401332284,0.19759351100946596,0.464403181131247,0.3498661510367099,0.2320276150050227
1.0999999999999996,0.3651325115922196,0.3869637945714155,0.16865870043804762,0.19277116187580104,0.28165138854677907,0.2535095835213105,0.19682968555860647,0.3050274814914883,0.19801184829181956,0.464694371593022,0.3499945187170561,0.23242491106676005
1.200000000000001,0.36516784235063915,0.38660706767882835,0.16909454908152596,0.19308927457804745,0.2817355790721797,0.25367836983047715,0.19725788336608072,0.30541539352396935,0.19847809074153513,0.4650179760703953,0.3501829092071905,0.23285875414198695
1.3000000000000007,0.3652189893721576,0.38631996172504646,0.1695118946779036,0.1934036370300536,0.2818663041808625,0.2538678444090971,0.19771794964942466,0.3058572658144294,0.1989939939440039,0.4653758975000526,0.3504292941405546,0.2333302579117648
1.4000000000000004,0.3652899146592737,0.38611351488224477,0.16991925316999587,0.19371665437842386,0.28204913445126617,0.2540765129355481,0.19821148660445012,0.3063405879466264,0.19956131348461734,0.4657700388186794,0.3507291254581912,0.2338405360571549
1.5,0.3653846472128663,0.38599876532259814,0.17032514050061798,0.1940307317697626,0.2822896404618295,0.254302881088208,0.19874009642696902,0.306852849504318,0.2001818049487667,0.46620230296296156,0.351077855007807,0.2343907022592187
1.6000000000000014,0.3655072160338146,0.3859867512182813,0.17073807261258517,0.19434827435067425,0.2825933927909913,0.2545454545454545,0.1993053813127932,0.3073815400712622,0.20085722392184344,0.4666745928695844,0.35147093463710904,0.2349818701990175
1.700000000000001,0.3656616501229975,0.38608851074146905,0.17116656544871275,0.19467168726776315,0.28296596201719026,0.254802890107975,0.1999089434577345,0.3079141492312168,0.2015893259892388,0.46718881147523367,0.35190381619380406,0.23561515355761264
1.8000000000000007,0.365851978481294,0.38631508206433646,0.171617788485939,0.19500337566763373,0.2834129187188652,0.25507444906569465,0.20055238505760475,0.30843816656793965,0.20237986673634417,0.467746861716595,0.3523719515255989,0.23629166601606547
1.9000000000000004,0.36608223010958335,0.38667750335905815,0.17209155137397955,0.19534574469689037,0.2839398334744548,0.25535954383084813,0.20123730830821593,0.3089410816651886,0.20323060174855095,0.46835047565922094,0.3528707924802005,0.23701252125543734
2.0,0.3663564340087444,0.3871868127978091,0.17258516173845226,0.1957010513572634,0.28455227686239787,0.2556575868156704,0.20196531540537982,0.30941126522296275,0.20414328661125045,0.468998973692803,0.3533957909053156,0.23777883295678962
2.1000000000000014,0.3666786191260781,0.3878535572355282,0.17309592513655334,0.19606996659294412,0.28525510758177913,0.25596799043239615,0.20273765929127743,0.30984652128188006,0.20511910478669373,0.4696898911970754,0.3539423986486511,0.2385916856372636
2.200000000000001,0.3670513680129031,0.388676983230733,0.17362114712547905,0.19645219922123963,0.2860461193447797,0.25629016709326014,0.2035528831882374,0.3102503762919876,0.2061548008615002,0.47042072158184806,0.354506067557914,0.23945065710640917
2.3000000000000007,0.36747204551151835,0.38964503704551867,0.17415813326242557,0.1968474445597553,0.28691906371964865,0.2566235292104969,0.20440826363641243,0.31062643699504977,0.20724504443116465,0.4711889582569311,0.3550827278836556,0.24035311978104534
2.4000000000000004,0.36793684031647444,0.390745173624745,0.17470418910458924,0.1972553979260966,0.28786764470462745,0.2569674891963416,0.20530106999367506,0.3109783101328311,0.20838449332566752,0.47199209463213454,0.35567066467911096,0.24129627078771226
2.5,0.3684419411223225,0.39196484791327146,0.17525662020916621,0.19767575463786888,0.28888556629795764,0.25732145946302865,0.20622857161789798,0.31130960244709616,0.20956780537498923,0.4728276241172684,0.3562688863013939,0.24227730725295002
2.6000000000000014,0.3689835366236134,0.39329151485595787,0.17581273213335274,0.1981082100126776,0.2899665324978808,0.257684852422793,0.20718803786695378,0.3116239206796093,0.21078963840911022,0.4736930401221429,0.35687640130206183,0.24329342630329884
2.700000000000001,0.36955781551489797,0.3947126293976638,0.1763698304343451,0.1985524593681282,0.2911042473026386,0.2580570804878693,0.20817673809871506,0.31192487157213505,0.21204465025801084,0.4745858360565678,0.3574922182326716,0.24434182506529883
2.8000000000000007,0.3701609664907271,0.3962156464832488,0.1769252206693394,0.19900819802182607,0.2922924147104724,0.25843755607049235,0.20919194167105445,0.31221606186643797,0.21332749875167148,0.4755035053303533,0.3581153456447805,0.24541970066549015
2.9000000000000004,0.37078917824565183,0.39778802105757277,0.17747620839553205,0.1994751212913766,0.2935247387196238,0.2588256915828969,0.21023091794184454,0.3125010983042825,0.2146328417200726,0.4764435413533094,0.3587447920899457,0.24652425023041297
3.0,0.37143863947422295,0.3994172080654951,0.17802009917011916,0.19995292449438531,0.29479492332833446,0.25922089943731774,0.21129093626895798,0.31278358762743314,0.21595533699319458,0.4774034375352461,0.35937956611972416,0.2476526708866074
3.1000000000000014,0.37210553887099146,0.40109066245187563,0.178554198550297,0.20044130294845755,0.29609667253484584,0.2596225920459896,0.21236926601026737,0.31306713657765445,0.2172896424010179,0.47838068728597355,0.3600186762856732,0.24880215976061362
3.200000000000001,0.3727860651305082,0.4027958391615739,0.17907581209326182,0.20093995197119877,0.29742369033739946,0.2600301818211472,0.2134631765236453,0.3133553518967108,0.21863041577352288,0.47937278401530176,0.3606611311393499,0.24996991397897175
3.3000000000000007,0.37347640694732404,0.4045201931394496,0.1795822453562098,0.20144856688021434,0.298769680734237,0.2604430811750253,0.21456993716696438,0.3136518403263668,0.21997231494068997,0.48037722113304065,0.3613059392323114,0.251153130668222
3.4000000000000004,0.3741727530159901,0.4062511793303623,0.18007080389633728,0.20196684299310974,0.3001283477235998,0.2608607025198587,0.21568681729809727,0.3139602086083868,0.22130999773249954,0.48139149204900034,0.36195210911611475,0.25234900695490436
3.5,0.37487129203105707,0.4079762526791718,0.18053879327084038,0.20249447562749034,0.3014933953037296,0.2612824582678822,0.21681108627491658,0.31428406348453547,0.22263812197893204,0.4824130901729909,0.3625986493423172,0.2535547399655592
3.6000000000000014,0.3755682126870759,0.4096828681307376,0.18098351903691542,0.20303116010096167,0.30285852747286796,0.26170776083133046,0.21794001345529487,0.3146270116965772,0.2239513455099679,0.4834395089148223,0.3632445684624759,0.2547675268267266
3.700000000000001,0.3762597036785975,0.4113584806299195,0.18140228675175857,0.20357659173112902,0.3042174482292563,0.2621360226245018,0.21907086819710478,0.31499265998627646,0.22524432615558748,0.4844682416843047,0.3638888750281479,0.25598456466494657
3.8000000000000007,0.37694195370017286,0.41299054512157696,0.1817924019725661,0.20413046583559785,0.30556386157113613,0.2625667117680381,0.22020091985821894,0.3153846150953979,0.22651172174577122,0.48549678189124806,0.36453057759089036,0.25720305060675946
3.9000000000000004,0.3776111514463529,0.41456651655056975,0.18215185331683892,0.20469247773197363,0.3068914714967492,0.2629994973368809,0.2213274377965099,0.3158064837657058,0.22774819011049952,0.4865226283498587,0.36516868470226044,0.2584201817787053
4.0,0.3782634856116883,0.4160738498617576,0.18248199157321848,0.20526232273786174,0.30819398200433695,0.2634340937040032,0.2224476913698504,0.3162618727389647,0.22894838907975276,0.4875439871154832,0.3658022049138152,0.2596331553073242
4.100000000000001,0.3788951498505064,0.4175,0.18278520025867054,0.2058396961708676,0.309465097092141,0.263870215242378,0.22355895069136214,0.31675438285535873,0.2301069764835114,0.4885604674600522,0.366430146777112,0.2608391683191565
4.200000000000001,0.37950387749034925,0.4188355016480576,0.18306386316778522,0.20642423253610534,0.31069864840760636,0.26430757632497837,0.2246588922814329,0.31728578291562226,0.23121910073978882,0.4895718440925788,0.3670515739717538,0.2620354260143832
